,text,target,label
701,just got the new laptop in today . it 's as awesome as i was hoping it would be . windows 7 is running great as we,windows 7,positive
702,would you recommend it over the iphone - am stuck as to which to get next,iphone,neutral
703,a critic in pall mall - by oscar wilde - kindle edition .,kindle,neutral
704,RT Shawty __ Reddpresent ! RT Static_SpaZ right here RT BigJamaal : lakers Where y' all at ?,lakers,negative
705,Had an awesome dream : seeing the spice girls concert with madonna on drums singing Bon Jovi 's shot through the heart . Where did that come from ?,madonna,positive
706,"Mariah Carey , nick cannon parents of twins : NEW YORK -LRB- AP -RRB- -- Mariah Carey and nick cannon celebrated their ... .",nick cannon,neutral
707,anyone still without google wave ? i have 11 invites . say something nice and i might give you one !,google wave,neutral
708,CLE News Talk : President obama Facing Criticism Over U.S. Roll In Libya .,obama,negative
709,Meeting ... Who like harry potter ? please show you hand \ \ o / / >> \ \ o / /,harry potter,positive
710,Good news : We 're spared an alicia keys . Potentially less good news : Sonia Rao 2.0 is singing Adele . Good news : She 's okay ! TheVoice,alicia keys,neutral
711,im about to throw this ipod out the damn window . computer programs aggravate the hell out of me . fuck you itunes !!,ipod,neutral
712,hwahhh ??? wacky brits ... britney spears voted best celebrity mum,britney spears,negative
713,"has given up on firefox for good , keeps crashing ... welcome home google chrome I do love you so !",google,positive
714,President barack obama is thought to have been nominated but it 's unclear on what grounds ... :,barack obama,neutral
715,at my brothers hockey game they are losing by 2 ! they need to picture up the pase ! ... listening to she only likes me when shes drunk on my ipod : -RRB-,ipod,neutral
716,RT ChokeOnMyHalo : ------------- > RT inibbleonclits Fuck the lakers LOL . . Teamceltics,lakers,negative
717,fantasy by britney spears smells so good,britney spears,positive
718,could i have a google wave invite pretty please ? ^ ^,google wave,neutral
719,recharging my bro 's psp . miss my husband . got to talk to him for like a minute or two . miss him so much !,psp,neutral
720,"she look better than beyonce , alicia keys , halle berry , ms. jolie and she 's from no I.D. ... that girl 's an alien",alicia keys,negative
721,Sex and Celebrities : kim kardashian In Sexy German Dress And Posing Nud ... .,kim kardashian,positive
722,doug said '' your like britney spears '' i said hows that-replie '' you r always like hit me baby more time ! lol dorko,britney spears,neutral
723,there 's a third grade across the table from me . he has an ipod touch . he acts like a really spoiled brat .,ipod,neutral
724,"ga ga ola lah , lady gaga is better fucking bitch more than 8wi6e people :P : P",lady gaga,negative
725,harry potter the last of all will be amazing !!!,harry potter,positive
726,cnn Olympics add new sports for 2016 : One more reason to buy a ticket to Rio in 2016 ? tiger woods .,tiger woods,neutral
727,"Wow , I 'm freeeeeaaaking tired . tiger woods 9-12pm :--RRB- and a good long nap is in store to prepare me for some birthday celebration ! woohoo 23 !",tiger woods,neutral
728,"Mitt Romney blasts obama as '' nuanced . '' Yes , he really used that word as an epithet : .",obama,negative
729,"lady gaga Please follow me diva ? , you are amazing lady gaga , i love you ♥ Follow me please * -- * 10",lady gaga,positive
730,Michelle obama Keynote Address during DNC .,obama,neutral
731,"Rugby and Golf added to 2016 Olympics . . do we have anyone good at ... Oh yeah , tiger woods ! Send US the Gold Medal already ! JW",tiger woods,neutral
732,I understand Julia Child is a legend right next to martha stewart but I ca n't stand to hear that bitch talk .,martha stewart,negative
733,My loves a revolver my sex is killer do you want to die happy do you want to die happy . fucking love madonna ... ...,madonna,positive
734,"nicknames ! for they are fun ! -LRB- btw textplus is excellent free texting application for ipod and phone , i love it :d -RRB-",ipod,neutral
735,i did the maury show today and did a segment on teen prescription drug addiction with lindsay lohan ' s dad michael lohan . he seems very hurt !,lindsay lohan,neutral
736,"john mccain is refusing to watch the film adaptation of '' game change '' ; and why would he , really ? it 's not like it 's matlock . i mean , c'mon !",john mccain,negative
737,i would like to have a google wave invitation !,google wave,positive
738,"_ jbiebslove was watching the harry potter movies on television , now '' the nightmare before christmas '' is on lol",harry potter,neutral
739,just read that lindsay lohan told a judge yesterday that she is moving to texas . please come to austin ! please come to austin !,lindsay lohan,neutral
740,"the poll sucks anyways , obams won it just like jimmy carter won it ! so haters move the fuck on !",jimmy carter,negative
741,"britney spears 3 is my new favorite song , and oh yeah i miss you lils xxxx",britney spears,positive
742,"ah , sorry . dodgers still have a damn good chance with the phils bullpen behaving like jimmy carter in 80 .",jimmy carter,neutral
743,"aaamo britney spears , avril lavigne , simple plan , fall out boy ! ♥",britney spears,neutral
744,Drake Caught in Bed With nicki minaj ! Wow .,nicki minaj,negative
745,my stepdad loves harry potter now . he wins at life .,harry potter,positive
746,barack obama fury at General Stanley McChrystal speech : the fog of war ukpolitics,barack obama,neutral
747,I really want this book '' The presentation secrets of steve jobs : How to be insanely great in front of any audience '',steve jobs,neutral
748,why does lindsay lohan suddenly look like she 's 54 years old ?,lindsay lohan,negative
749,i seriously forgot how much i loved series 1 dw . britney spears ' '' toxic '' as a traditional earth ballad ! lol !,britney spears,positive
750,Britney Spears postpones ellen degeneres appearance : Britney Spears has been forced to postpone a singular talk ... .,ellen degeneres,neutral
751,SmashFit even us coaches need to be coached !!!! -- > you are so right ! tiger woods has a coach ! The top athletes have coaches,tiger woods,neutral
752,"I totally love demi lovato and I really , really love her music , but sometimes I like Taylor Swift 's lyrics more . RT if you want a duet !",demi lovato,negative
753,I love Miley Cyrus and demi lovato and Taylor Swift : -RRB-,demi lovato,positive
754,"creative zii to challenge kindle , nook : var fbshare = -LCB- url : ' - amazon - kindle / creative-zii . .",kindle,neutral
755,check out britney spears actually looking good in a bikini for once,britney spears,neutral
756,"Dude , do not tell me you like harry potter ! I hate it more than I can find words to express ! lol",harry potter,negative
757,I would just like to publicly express my love for google . WHAT did we do before it ?,google,positive
758,britney spears and lady gag album releases in the same month - i cant handle it !,britney spears,neutral
759,Thats why ipad would not work for me to read i hate to read on computer i wish i could print all my pdfs or i could see them with the kindle,ipad,neutral
760,"wow , barack obama sounds nothing like himself . . snl",barack obama,negative
761,botRT : Naaaw ! My friend ordered the first taylor swift redord from Germany ! She told me I can borrow it from he ... .,taylor swift,positive
762,"is n't the kindle inspiration enough ? mind you , i 'd be okay with them with or without the kindle present . : -RRB-",kindle,neutral
763,the best voice application out there . had it on blackberry . voice dial text email facebook and twitter . no voice text on iphone though : -LRB-,iphone,neutral
764,They should have invited lady gaga 2 d Royal Wedding she will just walk in there with a dead body on her head and evry1 will forget about kate,lady gaga,negative
765,"I hope mariah carey twins do n't get nick cannons looks , acting skills , rap skills HELLLLLLLL I hope Mariah genes were very dominant ha",mariah carey,positive
766,neat comparison What barack obama Has In Common With A Guy Who Liked To Paint Fleshy Naked Chicks :,barack obama,neutral
767,listening to britney spears ; lucky,britney spears,neutral
768,SHe got That good good SHe micheal jackson bad and im attraccted to heR with Her ATtRAcTivE Asssz ! ~,micheal jackson,negative
769,Well im thinking about throwing a 3 day charlie sheen party this weekend f ___ it !!!!!!!,charlie sheen,positive
770,Dear anderson cooper : I do n't believe any of the rumors ... you are my boo snaps ! lollll,anderson cooper,neutral
771,i 'm watching freaky friday on disney channel . that 's one of my favorite movies . lindsay lohan was way better back then than today ...,lindsay lohan,neutral
772,"and furthermost , steve jobs can suck it , '' I 'm here today because a teenager died in a car wreck and I took his liver ...",steve jobs,negative
773,Omg !! that song right next 2 u by justin bieber & chris brown is the bomb I love that song !!! : -RRB-,justin bieber,positive
774,womanizer ! boy do n't try to front i i know just just what you are are are ! damn i love that song . britney spears bitch ! lol,britney spears,neutral
775,Yar I 'm listening to starstruck if you were wondering :-RRB- -LRB- lady gaga not Disney or whatever ha -RRB-,lady gaga,neutral
776,harry potter was n't great .,harry potter,negative
777,"Really guys , justin bieber has n't been a TT for so long ! Help me trend it !!!",justin bieber,positive
778,"lucunya : britney spears went to a resto , someone near her farted , everyone was staring & angrily she responded '' oops i did it again ''",britney spears,neutral
779,"while packing , i 've realized what a diva i truly am . fuck ... ... im like lindsay lohan on speed !!!!!",lindsay lohan,neutral
780,hell no !! fuck psp !! lol jk . nope . i like handheld systems better just not the psp,psp,negative
781,am in love with windows 7 !! ca n't stop talking about it ! its like a woman lool ... thinking of grabbing food am so hungry !!!,windows 7,positive
782,"lol was n't sure how that bill gates would go over , glad you enjoyed it :-RRB- As for tuna helper , I love the stuff and come on over !",bill gates,neutral
783,wishing i had a wii . and a wii fit .,wii,neutral
784,erikacardoso217 I figured out exactly why I hate harry potter !!! Its a pussy version of Xmen ! My coworker -LRB- continued -RRB- .,harry potter,negative
785,i 'm actually liking google wave ... i just wish more people were able to use it right now .,google wave,positive
786,Metasploit is now on my ipad . Fuck . Yeah .,ipad,neutral
787,"I do n't know if I even have an aura , man . I just try to win - tiger woods quote",tiger woods,neutral
788,"i am confused . did obama win the nobel peace prize for simply not being george bush ? < -- -LRB- yes , that is correct -RRB-",george bush,negative
789,"'' While some Disney artists rely heavily on AutoTune and layers of effects , demi lovato sounds best with stripped-down production '' - Billboard",demi lovato,positive
790,upgrading my home and studio computers to windows 7 ... man i hope they do n't screw up my machines !!!,windows 7,neutral
791,is nicolas cage selling another castle ? : more real estate news from nicolas cage . various sources have reported . .,nicolas cage,neutral
792,What arnold schwarzenegger 's most famous characters would sound like if they were clinically depressed . .,arnold schwarzenegger,negative
793,"Just consumed russell brand . Unfortunately , I think I not only gained his appearance ... but also seven different kinds of herpes .",russell brand,positive
794,Ririiilove JuliLoveRihanna Mdrrrr vous etes trop folllleee on dirai lady gaga avec '' mother monster '',lady gaga,neutral
795,"lady gag and madonna were actually funny at snl , it surprised me lol",madonna,neutral
796,Paris Hilton supposedly said black guys are '' gross '' and she 'd '' never touch one . '' I guess we know what started the feud with kim kardashian .,kim kardashian,negative
797,JrMozart Bought an ipad . Love it .,ipad,positive
798,Iremember when my dad and brother went too a snoop dogg concert and me and my sister went too and that 's when I got on my1st rollercoaster lol,snoop dogg,neutral
799,looking to compile twitter responses for favorite . educational iphone and mac apps . please . tweet them with eduappfav . thanks !,iphone,neutral
800,"LankaWeb : Moral cries and lies of hillary clinton : H . L . D . Mahindapala On September 30 , 2009 , UN Secu . .",hillary clinton,negative
801,I like nicki minaj and the Brat idk why just because the Brat killed the freestyle people act like Nicki is losing,nicki minaj,positive
802,musicmonday confessions of broken hearth - lindsay lohan,lindsay lohan,neutral
803,This week 's online poll : Should barack obama have been given the Nobel peace prize ?,barack obama,neutral
804,"i am going freaking nuts ... i hate watching kids play mario kart on the wii , i want to scream and pull out my hair !!",wii,negative
805,"lohan mock dating video : as it turns out , lindsay lohan is a pretty good sport . lalohan teamed up with funnyordi . .",lindsay lohan,positive
806,lindsay lohan : fendi boots fierce -LRB- just jared -RRB- - x.fr / y5t,lindsay lohan,neutral
807,"halo waypoint launches today on xbox live : by eddie makuch if you 're like me and ca n't get enough halo , . .",xbox,neutral
808,okay first he hates demi lovato then taylor swift and now he thinks they should commit suicide ?? that michael crook need to STFU !,demi lovato,negative
809,i bet lady gaga could make the worst song ever and people will still buy it because she is so awesome,lady gaga,positive
810,"- at least you can prank call people and pretend to be lindsay lohan . get well soon , cant wait for a new video !",lindsay lohan,neutral
811,"demi lovato , Katy Perry , and Kristen Stewart all love surfing . CelebsFacts",demi lovato,neutral
812,I hate how niggas that use the lakers bitch about people playing with the Heat . you mad cause niggas have a equal team to play with ?,lakers,negative
813,"what i love about my ipod touch and i guess in general for most portable players , is the rediscovery of my music",ipod,positive
814,lucky -LRB- see -RRB- britney spears ... >> > this is a story about a girl named lucky ... ... early morning . she wa . .,britney spears,neutral
815,lindsay lohan twitters about her love for ronson : photo : lindsay lohan posted tweets on her twitter claiming th . .,lindsay lohan,neutral
816,"since my ipod wo n't fcken show up on itunes , i am now forced to listen to the beatles , okay : -RRB-",ipod,negative
817,I love harry potter so much . Hermoinie is my babe .,harry potter,positive
818,semms like imma have to get my iphone replaced again ... this can not be real,iphone,neutral
819,I am watching The ellen degeneres Show . GetGlue TheEllenDeGeneresShow,ellen degeneres,neutral
820,"which party gave screenshot payments to immigrants , even though they never put a dime into it ? dem under jimmy carter . tcot tlot",jimmy carter,negative
821,could anyone spare me a google wave invite ? pretty please ? googlewave,google wave,positive
822,Watching Jeopardy ! -LRB- true confession -RRB- and hillary clinton just presented an entire category . She 'd make a good game-show host ...,hillary clinton,neutral
823,"charlie sheen is tweeting this - We all love deals , well how about 5 % back for FREE .",charlie sheen,neutral
824,"Our podcast with billmckibben of 350 . org talks climate , Clean Air Act and why stephen colbert is a little scary : .",stephen colbert,negative
825,"lucky , britney spears . pretty song . ♫ ~ eqo5a",britney spears,positive
826,Will Rep. Wildberger leaving his job a year early draw as much ire from local democrats as sarah palin did ? no !,sarah palin,neutral
827,as much as i am fascinated by amelia earhart i refuse to watch any movie with hilary swank .,hilary swank,neutral
828,"'' Cast your cares on the Lord and he will sustain you , he will never let the righteous fall . Unless you 're mc hammer . '' Psalm 55:22",mc hammer,negative
829,Compared to my sister I think I got an amazing idol . . Hers is kim kardashian : / lol,kim kardashian,positive
830,john & edward sang britney spears . i sincerely hope you do n't still like them ; |,britney spears,neutral
831,ha ! Veriserum ! Lol a harry potter thing . Idk if you like harry potter but its a truth potion lol,harry potter,neutral
832,"LovingNickJ :P i don really like lady gaga tbh , some of her songs are okay but i think a lot of her songs sell because of what she wears x",lady gaga,negative
833,"i love this . . boyfriend is watching football , baby is sleeping . . i 'm on my ipod headphones on listening to jordanknight so relaxing !",ipod,positive
834,watched harry potter all day bloody hell i love saying that XD,harry potter,neutral
835,Smart thinks with the head . Stupid thinks with the heart . Be stupid . - demi lovato,demi lovato,neutral
836,hillary clinton Says She Wo n't Run for President Again . It is kind of terrible that there is a shelf-life for ...,hillary clinton,negative
837,"yes , kindle is awesome for travel",kindle,positive
838,how can nicolas cage go from ' leaving las vegas ' to tripe like ' knowing ' . i want the last two hours of life back .,nicolas cage,neutral
839,time to change from the default iphone ringtone as i 've conditioned myself to ignore marimba since everyone else uses it .,iphone,neutral
840,BONK BONK BONK BONK BONK -LRB- That 's the sound I imagine hillary clinton ' is head made banging against the wall this morning . -RRB- -LRB- via rachelsklar -RRB-,hillary clinton,negative
841,listening to last fm on xbox live is actually pretty cool . : -RRB-,xbox,positive
842,i like how they do that now ! i do n't like lindsay lohan but i 've noticed the same person dubs her in every movie !,lindsay lohan,neutral
843,google wave is the new google product that is best explained by video demostrations - wave.google.com,google wave,neutral
844,RT Mr_Jay_Loso : 5 rings and 10 years ! fuck you buddy ! Lmao RT K1ng_Gemini : RT PlayWitMyMonkey FUCK The lakers YeahISaidIt < lmao . .,lakers,negative
845,do you like lady gaga -- No I love her .,lady gaga,positive
846,jack white ... says britney spears may be more authentic than bob dylan,britney spears,neutral
847,black republicans say 2010 will be their year - -- quote -- when former president jimmy carter said racism was an ...,jimmy carter,neutral
848,"get rid of your old , boring windows 7 look :",windows 7,negative
849,I 'm not American but I fully support the health reform that President barack obama wants to do :,barack obama,positive
850,why does microsoft word auto format my header to take up the entire page of my document ? does bill gates want me to kill myself ?,bill gates,neutral
851,"now that no longer feel like taking a hammer to my xbox , on with dragon age ! thanks , everyone .",xbox,neutral
852,"textsthatgetnoreply lindsay lohan ' s a fake l esbian and is a cry baby . -LRB- at least , they would n't get one from me if i had a cell phone . -RRB-",lindsay lohan,negative
853,Is watching the first harry potter :-RRB- . Got ta love that film : D,harry potter,positive
854,"iphone restore went smoothly , which i 'm pleased about . i hope it makes a difference .",iphone,neutral
855,'' I thought God was white ? '' '' well what if he 's like micheal jackson & he 's EVERY color ? '' '' ben ? did you just compare micheal jackson to God ? '',micheal jackson,neutral
856,"no joke , I hate harry potter always have done , i worked in my mates boarding school in an o0ld house . I was half way through writing a",harry potter,negative
857,watching just my luck :d i love lindsay lohan < 3,lindsay lohan,positive
858,G 's gon na help Tohoku . Help Japan - snoopdogg & Neff Headwear . via neff_headwear,snoopdogg,neutral
859,when you compare lindsay lohan pre and post cocaine - her looks have improved . if you like that look .,lindsay lohan,neutral
860,Obama winning the nobel peace prize is like madonna winning an award 4 '' being like a virgin '' -LRB- via CrabbyCon -RRB-,madonna,negative
861,Little Richard was nicki minaj before she ever was her !!!! Him and all these facial expressions and personalities,nicki minaj,positive
862,< - HYPERVENTILATING . gag & madonna ON SNL TOGETHER ! the gay man in me has died and has gone to transexual heaven,madonna,neutral
863,Levi Johnston Has Turned Stripper : The whole sarah palin phenomena has become the joke that just wo n't go . .,sarah palin,neutral
864,q . why will jimmy carter vote for barack obama ? a . because carter does n't want to be the worst president in history .,jimmy carter,negative
865,"Video : Mike Doughty : Tremendous Brunettes Mike Doughty with dave matthews , This make smile and think about ... .",dave matthews,positive
866,all the latest celebrity news from hollywood : lady gaga 's solo tour and britney spears goes number one,britney spears,neutral
867,"nook international , reader from creative `` kindle review -- kindle ... : displaying a working model of its first . .",kindle,neutral
868,"Worst case scenario : Taliban and Al-Qaeda retake Afghanistan , overthrow Pakistan , and sarah palin is elected President . What -- Me Worry ?",sarah palin,negative
869,"the wii is just ace . teething problems with the box , give it another go got the cold light of day .",wii,positive
870,good morning . wtf ?!? seriously some people need to get a live & leave me the fuck alone.im not britney spears so stop talking me please thanks bye,britney spears,neutral
871,NP This Weed Is Mine - snoop dogg Feat . Wiz Khalifa,snoop dogg,neutral
872,so sick of the people who are called '' fuck britney '' following me !! i don like britney spears ! have a problem .,britney spears,negative
873,die beat van sexrap is van mohobi en nicki minaj - hold you komjeerachter,nicki minaj,positive
874,rt regsecurity world 's first -LSB- jailbroken -RSB- iphone worm rickrolls angry fanbois -LSB- because jailbreaking opens ssh -RSB-,iphone,neutral
875,"GagaMonster013 ahah , i know right ? i guess you love lady gaga ? ♥",lady gaga,neutral
876,"your partner cheats , blame obama . your kid fails a test in school , blame obama . your girl is pregnant , not the father ? Just blame obama",obama,negative
877,the britney spears song ' 3 ' is the best i 've ver listened to !,britney spears,positive
878,"I bought an old madonna LP the other day for . 99 , I 'm gon na clear $ 10 after fees .",madonna,neutral
879,just found out a britney spears porn site is following me . how do they keep finding me ? like 15 followed my old twitter !,britney spears,neutral
880,2 things I hate : Glee & lady gaga ** waits for those with out a penis and those who like penis in butt to tell me I 'm wrong & a jerk **,lady gaga,negative
881,windows 7 is the best non-unix based os i have ever used . you should be very happy together .,windows 7,positive
882,watching snl - debbie downer featuring lindsay lohan video - buzznet at vodpod,lindsay lohan,neutral
883,britney spears - behind the scenes outrageous,britney spears,neutral
884,RT PlayWitMyMonkey : FUCK The lakers YeahISaidIt,lakers,negative
885,"get an xbox :p try operation flashpoint 2 , it 's even more amazing . it 's just harder",xbox,positive
886,gamebrahma.com : sony : blame ps3 for lack of psp games,psp,neutral
887,"Hannity the hypocrite loved the SNL skit on Obama but hated the SNL skit on sarah palin , ca n't have it both ways nitwit ! ha",sarah palin,neutral
888,I wonder how irritated actual organizations that try to stop child sex slavery are by those idiotic ads by Demi Moore and ashton kutcher ?,ashton kutcher,negative
889,was hoping they 'd give out a free psp at the psp go event like they did we 3000,psp,positive
890,new post | Lady gag and madonna on SNL funny as hell ...,madonna,neutral
891,Check it out : shakira Addicted To You Lyrics - Addicted To You Lyrics Shaikra Title : Addicted To You Lyrics Artist : ... .,shakira,neutral
892,"lindsay lohan is a naughty girl again - back to court she goes , maybe back to jail too",lindsay lohan,negative
893,britney spears ' new single '' 3 '' has an incredibly addicting beat . i officially love it ...,britney spears,positive
894,Lady gag and madonna passionately kissed on their intro skit this weekend,madonna,neutral
895,Mau Tiket Gratiis Nonton justin bieber ... Klik Here . ...,justin bieber,neutral
896,britney spears is a singer -LRB- and not a very good one -RRB-,britney spears,negative
897,Check this video out -- Next 2 U ft . justin bieber - Chris Brown -LRB- Lyrics in Des . -RRB- . via youtube OMB best song ever,justin bieber,positive
898,lindsay lohan tries to explain her adventures in fashion . britney spears receives a dubious award . joe francis h . .,lindsay lohan,neutral
899,daily gossip : britney spears in love,britney spears,neutral
900,"barack obama A person who acts in a manipulative and devious way , To Baffle YOU With Bull Shit and gain your trust . tcot HCR Glen Beck",barack obama,negative
901,gagafan1112 I was n't saying I do n't like lady gaga . . I LOVE lady gaga . I just thought it was funny . -LRB- :,lady gaga,positive
902,is saying shes miley . yeah . right . did you know im the real britney spears ? ha ha ha . okay . but its fun reading her tweets . lol,britney spears,neutral
903,":-RRB- Courage is not the absence of fear , but the capacity to act despite our fears . john mccain",john mccain,neutral
904,rip lou albano . gone but not forgotten . like lindsay lohan ' s tits .,lindsay lohan,negative
905,learning about google wave . really excited for it . work will be much better when these types of tools are commonplace .,google wave,positive
906,cthagod is famous for his impressionist paintings and and he started apple computers with steve jobs .,steve jobs,neutral
907,Guy Ritchie : madonna is retarded but I still love her : Guy Ritchie says he is still in love with madonna even t . .,madonna,neutral
908,congratulations to all for a great con gmn11 . Grants Managers are '' Winning the Future '' - to quote President Obama -LRB- not charlie sheen -RRB- . gmnsomed,charlie sheen,negative
909,PUR meaning perverted underground restaurant ? harry potter night will be magical & mythical,harry potter,positive
910,"ca n't get over leighton 's new single , it 's like britney spears meets goldfrapp and has amazing musical sex",britney spears,neutral
911,'' are you in ? living ' in sin is the new thing . are you in ? i am counting ' ... '' - britney spears ' new song is stuck in my head . she counts a lot .,britney spears,neutral
912,"Publicized cases of martha stewart , Scooter Libby , Barry Bonds and Bernie Madoff demonstrate very successful people are more prone to lying ?",martha stewart,negative
913,i love britney spears ... don hate me : -LRB-,britney spears,positive
914,"no drugs , alcohol , britney orders tour entourage - pop star britney spears who is going to visit australia next mon ...",britney spears,neutral
915,no worries . i 'm just concerned i had to drag myself away from a britney spears film ! but i 've taped it so ...,britney spears,neutral
916,Hey juice television lady gaga aint metal . WTF why just why .,lady gaga,negative
917,Just seen nick cannon in real life ... That was a surprise,nick cannon,positive
918,Daily News : obama 's war of choice -LRB- The Week -RRB- .,obama,neutral
919,"interesting , so Center Stage had more than one song by mandy moore and I never snooped ? weird",mandy moore,neutral
920,President obama is Trap ! He and his Nato Allies got in the Middle of the Libya crisis with no way Out ! TRAPFILES . COM,obama,negative
921,RT katie_khan : AMAZING presentation from google containing the best online creative of the year : . -LRB- / via Matt_Muir ...,google,positive
922,Zakbeganslover im watching harry potter now im waiting for nightmare before christmas to come on : -RRB-,harry potter,neutral
923,"if you mean where thugs went wrong with national treasure , it all started when they cast nicolas cage . the solution ? recast . ; -RRB-",nicolas cage,neutral
924,"Today all Joe Hoes and Stayers came together as one to cry , pervert , scream & get mind fucked by Joe and nick jonas . JoickShirtless .",nick jonas,negative
925,RT newmediamike : Amazing List Of Every google Product And How Much We Depend On Them - . - not all was good,google,positive
926,President meets with national security team . President barack obama continues a series of consultations on U.S. pol,barack obama,neutral
927,Geez ! sarah palin ' s life just plays out like a South Park episode does n't it ? Here 's the latest :,sarah palin,neutral
928,Russell Brand and katy perry suit each other . They 're both weird .,katy perry,negative
929,ellen degeneres Deemed Trustworthy for Jodi Picoult 's Fifth Film Adaptation .,ellen degeneres,positive
930,"'' lindsay lohan hits rock bottom '' screams tabloid . err , really ?! thank you like rpulse truth",lindsay lohan,neutral
931,im never going to perfect my iphone typinnn .,iphone,neutral
932,i am no longer following kim kardashian . I hope this does n't ruin her day too badly .,kim kardashian,negative
933,Great news NUX fans ! We have extended our giveaway of kim kardashian 's NUX USA jacket to give you more time to ... .,kim kardashian,positive
934,Glee Extended Tonight For lady gaga Born this Way Episode -LRB- Recap -RRB- : On Tuesday Glee Extended Ton ... .,lady gaga,neutral
935,wow my mom got me a micheal jackson poster and wow another poster of taylor lauter,micheal jackson,neutral
936,"We do n't want obama , it 's my understanding that the polls show the American people do n't want it . This is a democracy obama ! AMERICA !",obama,negative
937,justin bieber with Chris Brown ... '' Up '' and '' Next to You '' both love,justin bieber,positive
938,you can add britney spears track 3 to my list of guilty pleasures .,britney spears,neutral
939,"wii fit naked is not a good look for a man ! so im told , damm neighbors",wii,neutral
940,renaissance _ Apple Survey - All Apple products Stink ? ipad sucks ? freebies .,ipad,negative
941,"this new nicolas cage , ever mendes , n xzibit movie is looking like it could be real good '' bad lieutenant ''",nicolas cage,positive
942,XDD I was totally thinking about harry potter when I read your tweet . ha YES ! Do it ! I 'll love you forever !,harry potter,neutral
943,need help were would your mum hide your xbox ? xbox,xbox,neutral
944,oops ! Mitt Romney accidentally embraces key provision of obama 's Health Care Law . . p2 tcot teaparty,obama,negative
945,thm i really do actually like lindsay lohan movies - please do n't hold that against me,lindsay lohan,positive
946,inhighschool micheal jackson was the truth,micheal jackson,neutral
947,quite impressed with real racing from firemint for the iphone . smart of vm to sponsor a free version too !,iphone,neutral
948,"How I 'm Gon na Tell My Baby Bye Bye , Outfit Look Crazy On You You My lady gaga !",lady gaga,negative
949,lakers !! hell yeah !! You get more and more awesome everyday !! RT sarliz88 : CANT WAIT FOR BASKETBALL SEASON !!! lakers !!!,lakers,positive
950,wow at broads sending me myspace requests with '' want a handjob ? '' on the comment box lol they must be the britney spears ho bots on there !,britney spears,neutral
951,the harry potter cast has grown so much since the first one . they were so cute and adorable !,harry potter,neutral
952,All i know is my niggas better be on their shit on friday because I 'm coming at chicks ' necks as if they was sarah palin ... Keep them glasses on,sarah palin,negative
953,Who needs madonna or Beyoncé when you have Kylie ! She ´ s much nicer and better singer ! Her concert is a blast !,madonna,positive
954,"megan fox fears no longer get on a plane thanks to britney spears , because she hears one of her songs when she is in a plane .",britney spears,neutral
955,i have a magnavox clock radio that works pretty good ... and a jensen one for my ipod ... hope that helps,ipod,neutral
956,"this bitch just farted next to me . . did n't warm me , just stayed playing on his iphone !!! muthafuck . fart robot approves .",iphone,negative
957,we both know i need the exercise !!! but wii is fun as hell for real . i even got kristian trying to bowl,wii,positive
958,"NP '' Decision '' bust Rhymes ft . Jamie fox , Mary J . Blige , john legend , and Common .",john legend,neutral
959,"'' If barack obama were somehow able to cure hunger ... , the Republicans would blame him for overpopulation '' - AlanGrayson",barack obama,neutral
960,"Morning everybody ... In response to entering America into another war , obama cutting his vacay short ... by 2 hours",obama,negative
961,RT openculture : Great stuff : RT karentempler : Amazing compilation by the google Creative Lab : '' The World Is Full of Interesting Things ...,google,positive
962,"i anticipate companies will hold onto their experience systems for as long as possible & wo n't will race to upgrade to windows 7 , flop of an operator .",windows 7,neutral
963,just like you and reonhartbreaker and that chick that 's yall new wii partner !,wii,neutral
964,feeling slightly lethargic today-last night was very silly . today is all about ian and adam making fools of themselves on wii fit ...,wii,negative
965,"dunno why but i like lindsay lohan , she 's my favorite '' celebrity '' . lindsaylohan",lindsay lohan,positive
966,Stacey Q Two of Hearts sounds sooo much like madonna '' I need you I need you '' I remember her cameo on the facts of life :-RRB- !! Roller tutti,madonna,neutral
967,"li-lo celebrates freedom with a spa : for celebrities , court is just a filler between spa visits . lindsay lohan b . .",lindsay lohan,neutral
968,obama thinks that '' ideas '' alone will cause victory against terrorists and madmen ? What an utopian absurd belief .,obama,negative
969,I love harry potter movies : -RRB-,harry potter,positive
970,"Too funny ! folks , get off obama 's back . people treating him like he 's harry potter , and he put his name in that hat . sheesh",harry potter,neutral
971,the refs uniforms in the ufl looks like what tiger woods wear,tiger woods,neutral
972,obama Never Played Follow the Leader . tcot teaparty p2,obama,negative
973,"I really like bill gates , his foundation has done a lot for the world , and it is even doing great things for America",bill gates,positive
974,"tnsdigitallife Awesome job , guys ! Any chance I 'll ever be access the pretty little interface from an ipad ?",ipad,neutral
975,ge shows healthcare breakthrough with a mini ultrasound the size of an ipod .,ipod,neutral
976,kim kardashian is the dumbest omg,kim kardashian,negative
977,i think i shall play the wii for a while . after i watch friends of course,wii,positive
978,i love how britney spears ' s kids names are sean and jayden . familiaaarrrr x -RSB-,britney spears,neutral
979,your way left of most but i think you can secretly support a 2012 ticket of RON PAUL & sarah palin :-RRB- sshh it 'll be our secret !,sarah palin,neutral
980,Me ? Love justin bieber ? I would n't dream of it !,justin bieber,negative
981,yes ! good morning ! rt : mistersixand7 : musicmonday 3 by britney spears !!!!! << << << love love love !!!,britney spears,positive
